Job ID,Job Name,Submit,Start,End,Runtime / h,Scheduling Coefficient,Job Size / Nodes,Charged Usage / CUs,Raw Usage / CUs
1822108,u-ch427-n216-template-start-paper-x0-00.xml.19880901T0000Z,2022-06-15 01:26:13,2022-06-15 01:26:14,2022-06-15 01:26:34,0:00:20,0.952,1,0.006,0.006
1822109,u-ch427-n216-template-start-paper-x0-00.fcm_make2_drivers.19880901T0000Z,2022-06-15 01:26:34,2022-06-15 01:26:34,2022-06-15 01:26:47,0:00:13,1,1,0.004,0.004
1822110,u-ch427-n216-template-start-paper-x0-00.fcm_make2_um.19880901T0000Z,2022-06-15 01:26:49,2022-06-15 01:26:50,2022-06-15 01:35:48,0:08:58,0.998,1,0.149,0.149
1822151,u-ch427-n216-start-paper-50.ens_setup_all.19880901T0000Z,2022-06-15 01:29:02,2022-06-15 01:30:36,2022-06-15 01:34:41,0:04:05,0.723,1,0.068,0.068
1822152,u-ch427-n216-start-paper-50.install_cold.19880901T0000Z,2022-06-15 01:29:02,2022-06-15 01:29:06,2022-06-15 01:29:16,0:00:10,0.714,1,0.003,0.003
1822153,u-ch427-n216-start-paper-50.xml.19880901T0000Z,2022-06-15 01:29:02,2022-06-15 01:30:36,2022-06-15 01:30:48,0:00:12,0.113,1,0.003,0.003
1822159,u-ch427-n216-start-paper-50.fcm_make2_drivers.19880901T0000Z,2022-06-15 01:29:16,2022-06-15 01:30:36,2022-06-15 01:30:50,0:00:14,0.149,1,0.004,0.004
1822164,u-ch427-n216-start-paper-50.fcm_make2_um.19880901T0000Z,2022-06-15 01:29:36,2022-06-15 01:30:36,2022-06-15 01:39:28,0:08:52,0.899,1,0.148,0.148
1822165,u-ch427-n96-template-start-paper-x0-00.ens_setup_all.19880901T0000Z,2022-06-15 01:30:26,2022-06-15 01:30:36,2022-06-15 01:30:58,0:00:22,0.688,1,0.006,0.006
1822166,u-ch427-n96-template-start-paper-x0-00.install_cold.19880901T0000Z,2022-06-15 01:30:26,2022-06-15 01:30:28,2022-06-15 01:30:39,0:00:11,0.846,1,0.003,0.003
1822167,u-ch427-n96-template-start-paper-x0-00.xml.19880901T0000Z,2022-06-15 01:30:26,2022-06-15 01:30:36,2022-06-15 01:30:48,0:00:12,0.545,1,0.003,0.003
1822168,u-ch427-n96-template-start-paper-x0-00.fcm_make2_drivers.19880901T0000Z,2022-06-15 01:30:39,2022-06-15 01:30:41,2022-06-15 01:30:52,0:00:11,0.846,1,0.003,0.003
1822169,u-ch427-n96-template-start-paper-x0-00.fcm_make2_um.19880901T0000Z,2022-06-15 01:30:56,2022-06-15 01:30:58,2022-06-15 01:39:41,0:08:43,0.996,1,0.145,0.145
