SUITE,TIME,INITIAL,JOB_ID,JOB_PID,JOB_SUBMIT_TIME,JOB_INIT_TIME,JOB_EXIT_TIME,JOB_STATUS,TOOK1,TOOK2,TOOK3
u-ch427-n1280-template,,,,,,,,,,,
u-ch427-n1280-template-32-32,,,,,,,,,,,
u-ch427-n1280-template-64-32,,,,,,,,,,,
u-ch427-n1280-template-64-64,,,,,,,,,,,
u-ch427-n1280-template-90-60,,,,,,,,,,,
u-ch427-n1280-template-96-32,,,,,,,,,,,
u-ch427-n1280-template-queue,,,,,,,,,,,
u-ch427-n216-single-ens16,297.097,173.22,902799,70003,2021-12-17T14:54:30Z,2021-12-17T15:16:00Z,2021-12-17T15:23:16Z,SUCCEEDED,16.786,0.631,0.620
u-ch427-n216-single-ens17,286.361,162.60,902800,149045,2021-12-17T14:54:33Z,2021-12-17T15:31:56Z,2021-12-17T15:39:23Z,SUCCEEDED,13.673,0.766,0.625
u-ch427-n216-single-ens18,312.841,180.60,905679,170354,2021-12-18T22:16:48Z,2021-12-18T23:35:56Z,2021-12-18T23:43:52Z,SUCCEEDED,20.509,0.728,0.616
u-ch427-n512-ens0,312.841,180.60,892122,12320,2021-12-14T15:26:06Z,2021-12-14T16:01:48Z,2021-12-14T17:26:38Z,SUCCEEDED,20.509,0.728,0.616
u-ch427-n512-ens1,5077.398,94.06,892966,132999,2021-12-14T18:56:25Z,2021-12-14T19:41:20Z,2021-12-14T21:07:02Z,SUCCEEDED,153.837,34.729,34.347
u-ch427-n512-ens10,5560.837,246.16,892955,181648,2021-12-14T18:55:21Z,2021-12-15T08:06:48Z,2021-12-15T09:41:54Z,SUCCEEDED,160.048,38.364,36.124
u-ch427-n512-ens11,5663.911,254.65,892953,63277,2021-12-14T18:54:58Z,2021-12-15T07:48:48Z,2021-12-15T09:25:43Z,SUCCEEDED,159.374,37.916,37.280
u-ch427-n512-ens12,5705.719,267.82,892346,249383,2021-12-14T16:03:06Z,2021-12-15T06:09:50Z,2021-12-15T07:47:58Z,SUCCEEDED,164.108,43.107,36.824
u-ch427-n512-ens13,5794.890,286.27,900850,73110,2021-12-17T01:26:07Z,2021-12-17T10:00:48Z,2021-12-17T11:40:35Z,SUCCEEDED,162.175,37.943,38.695
u-ch427-n512-ens14,5736.428,290.65,892370,34562,2021-12-14T16:03:23Z,2021-12-15T02:45:20Z,2021-12-15T04:24:27Z,SUCCEEDED,171.416,37.211,36.848
u-ch427-n512-ens15,5711.982,304.15,892371,83186,2021-12-14T16:03:34Z,2021-12-15T04:25:50Z,2021-12-15T06:04:42Z,SUCCEEDED,161.044,36.892,35.844
u-ch427-n512-ens16,5808.684,331.64,892373,175252,2021-12-14T16:03:47Z,2021-12-15T04:27:48Z,2021-12-15T06:08:50Z,SUCCEEDED,166.384,38.180,37.436
u-ch427-n512-ens17,5908.236,332.20,892375,20666,2021-12-14T16:03:57Z,2021-12-14T18:54:24Z,2021-12-14T20:37:27Z,SUCCEEDED,165.727,37.524,37.276
u-ch427-n512-ens18,5822.783,350.54,892376,100432,2021-12-14T16:04:06Z,2021-12-15T02:45:21Z,2021-12-15T04:26:46Z,SUCCEEDED,164.635,40.613,38.096
u-ch427-n512-ens2,5535.404,236.97,892965,259522,2021-12-14T18:56:17Z,2021-12-14T19:34:25Z,2021-12-14T21:07:54Z,SUCCEEDED,158.308,36.425,36.032
u-ch427-n512-ens3,5291.887,148.57,892964,57833,2021-12-14T18:56:09Z,2021-12-14T19:31:23Z,2021-12-14T21:00:48Z,SUCCEEDED,158.904,35.725,35.787
u-ch427-n512-ens4,5394.268,161.36,892962,221027,2021-12-14T18:56:03Z,2021-12-14T21:36:31Z,2021-12-14T23:08:03Z,SUCCEEDED,158.487,36.759,37.680
u-ch427-n512-ens5,5574.039,172.92,892961,117851,2021-12-14T18:55:51Z,2021-12-14T21:01:31Z,2021-12-14T22:36:07Z,SUCCEEDED,161.712,39.530,38.365
u-ch427-n512-ens6,5678.760,251.09,892959,35734,2021-12-14T18:55:45Z,2021-12-15T09:26:48Z,2021-12-15T11:03:07Z,SUCCEEDED,163.953,37.205,36.956
u-ch427-n512-ens7,5629.767,255.30,892958,137430,2021-12-14T18:55:38Z,2021-12-15T09:26:48Z,2021-12-15T11:02:21Z,SUCCEEDED,159.118,38.348,35.444
u-ch427-n512-ens8,5635.051,206.36,892957,168045,2021-12-14T18:55:32Z,2021-12-15T06:16:48Z,2021-12-15T07:53:07Z,SUCCEEDED,161.831,39.826,37.437
u-ch427-n512-ens9,5715.780,227.91,892956,247592,2021-12-14T18:55:26Z,2021-12-15T08:12:47Z,2021-12-15T09:50:06Z,SUCCEEDED,161.474,40.783,37.980
u-ch427-n512-false-ens0,5715.780,227.91,897176,194443,2021-12-15T22:19:43Z,2021-12-15T22:20:56Z,2021-12-15T23:44:11Z,SUCCEEDED,161.474,40.783,37.980
u-ch427-n512-false-ens1,5032.279,93.51,897498,53520,2021-12-16T01:12:03Z,2021-12-16T01:12:59Z,2021-12-16T02:37:35Z,SUCCEEDED,156.238,35.260,33.016
u-ch427-n512-false-ens10,5624.746,234.77,898418,247595,2021-12-16T11:35:20Z,2021-12-17T03:12:35Z,2021-12-17T04:48:27Z,SUCCEEDED,161.204,40.335,36.161
u-ch427-n512-false-ens11,5580.588,246.13,898424,150615,2021-12-16T11:35:33Z,2021-12-17T02:49:34Z,2021-12-17T04:25:05Z,SUCCEEDED,159.073,36.604,36.976
u-ch427-n512-false-ens12,5677.356,269.61,898427,146912,2021-12-16T11:35:38Z,2021-12-17T01:12:49Z,2021-12-17T02:50:00Z,SUCCEEDED,158.496,37.334,36.277
