SUITE,TimeStep SIZE,TimeStep 0,TimeStep TOTAL,TimeStep MEAN,TimeStep 6 MEAN,TimeStep 8 MEAN,TimeStep 12 MEAN,TimeStep 6 TOTAL,TimeStep 8 TOTAL,TimeStep 12 TOTAL,TimeStep TI,TimeStep 6 TI,TimeStep 8 TI,TimeStep 12 TI
u-ch427-n216-start-paper-x0-05,126,13.58,133.28,1.06,0.97,1.09,1.06,20.47,17.11,11.12,,,,
u-ch427-n216-start-paper-x0-06,126,13.37,133.8,1.06,0.99,1.12,1.07,20.75,17.7,11.27,,,,
u-ch427-n216-start-paper-x0-07,126,12.8,134.56,1.07,1.02,1.2,1.12,21.33,18.84,11.73,,,,
u-ch427-n216-start-paper-x0-08,126,12.85,136.74,1.09,1.1,1.32,1.27,23.0,20.85,13.34,,,,
u-ch427-n216-start-paper-x0-09,126,10.4,132.76,1.05,1.02,1.26,1.13,21.52,19.84,11.9,,,,
u-ch427-n216-start-paper-x0-10,126,12.92,152.43,1.21,1.15,1.28,1.23,24.08,20.19,12.94,,,,
u-ch427-n216-start-paper-x0-20,126,13.96,187.14,1.49,1.9,3.67,2.42,40.0,57.88,25.42,,,,
u-ch427-n216-start-paper-x0-21,126,15.36,209.01,1.66,2.35,5.03,3.19,49.28,79.25,33.49,,,,
u-ch427-n216-start-paper-x0-25,126,16.54,225.41,1.79,2.56,5.95,3.72,53.7,93.65,39.02,,,,
u-ch427-n216-start-paper-x0-30,126,15.15,235.48,1.87,2.49,6.45,3.54,52.2,101.63,37.2,,,,
u-ch427-n216-start-paper-x0-40,126,36.29,299.16,2.37,3.08,8.66,4.61,64.64,136.41,48.45,,,,
u-ch427-n216-start-paper-x0-50,126,12.7,412.47,3.27,5.07,16.39,7.43,106.43,258.17,78.03,,,,
u-ch427-n216-start-paper-x0-60,126,24.79,662.56,5.26,9.28,28.55,13.93,194.88,449.63,146.24,,,,
u-ch427-n216-start-paper-x0-70,126,13.74,804.98,6.39,12.64,38.34,19.48,265.38,603.92,204.56,,,,
u-ch427-n216-start-paper-x0-prec-00,126,12.11,106.87,0.85,0.76,0.81,0.83,15.92,12.7,8.7,,,,
u-ch427-n216-template-start-00,126,12.62,110.01,0.87,0.81,0.86,0.92,17.06,13.47,9.66,,,,
u-ch427-n216-template-start-all,126,21.94,170.83,1.36,2.22,2.71,3.62,46.52,42.62,37.98,,,,
u-ch427-n216-template-start-all2,126,12.24,158.95,1.26,1.76,2.03,2.72,37.05,32.04,28.51,,,,
u-ch427-n216-template-start-paper,126,13.17,131.62,1.04,0.96,1.04,1.03,20.08,16.45,10.79,,,,
u-ch427-n216-template-start-paper-00,126,12.83,131.32,1.04,0.96,1.04,1.03,20.12,16.35,10.85,,,,
u-ch427-n216-template-start-paper-ms,126,11.25,134.04,1.06,1.0,1.12,1.08,21.08,17.68,11.39,,,,
u-ch427-n216-template-start-paper-ms-00,126,11.82,131.8,1.05,0.98,1.11,1.07,20.66,17.52,11.21,,,,
u-ch427-n216-template-start-paper-ms-x0-prec,126,13.72,133.77,1.06,0.98,1.11,1.07,20.61,17.52,11.18,,,,
u-ch427-n216-template-start-paper-ms-x0-prec-00,126,12.58,132.59,1.05,0.98,1.11,1.07,20.6,17.52,11.21,,,,
u-ch427-n216-template-start-paper-prec,126,13.56,135.73,1.08,0.99,1.09,1.06,20.73,17.2,11.15,,,,
u-ch427-n216-template-start-paper-prec-00,126,8.61,127.32,1.01,0.96,1.03,1.03,20.16,16.29,10.83,,,,
u-ch427-n216-template-start-paper-x0,126,12.87,132.26,1.05,0.98,1.07,1.05,20.53,16.82,11.04,,,,
u-ch427-n216-template-start-paper-x0-00,126,16.39,135.53,1.08,0.97,1.06,1.05,20.35,16.67,11.01,,,,
u-ch427-n216-template-start-paper-x0-prec,126,13.51,134.41,1.07,0.99,1.16,1.08,20.83,18.32,11.38,,,,
u-ch427-n216-template-start-paper-x0-prec-00,126,12.16,131.13,1.04,0.96,1.05,1.03,20.16,16.53,10.86,,,,
u-ch427-n216-template-start-paper-x5,126,13.36,131.88,1.05,0.96,1.05,1.04,20.16,16.47,10.9,,,,
u-ch427-n216-template-start-paper-x5-00,126,11.5,131.94,1.05,0.98,1.11,1.06,20.63,17.43,11.15,,,,
u-ch427-n512-paper-10of-ens10,189,160.64,7157.45,37.87,47.73,42.43,59.23,1503.42,1002.43,932.93,,,,
