SUITE,TIME,INITIAL,TIME-INITIAL,TIME-INITIAL-TOOK1,ENSEMBLE,RESOLUTION,NODES,JOB_SUBMIT_TIME,JOB_INIT_TIME,JOB_EXIT_TIME,JOB_STATUS,JOB_ID,JOB_PID,TOOK
final-total-all-suites.csv,,,,,,,,,,,,,,
max18,,,,,,,,,,,,,,
max25,,,,,,,,,,,,,,
mean,,,,,,,,,,,,,,
ms,,,,,,,,,,,,,,
paper-pack,,,,,,,,,,,,,,
scripts,,,,,,,,,,,,,,
stdev,,,,,,,,,,,,,,
test,,,,,,,,,,,,,,
total,,,,,,,,,,,,,,
u-ch427-grenville,,,,,,,,,,,,,,
u-ch427-n216-start-paper-24,,,,,4,,64,,,,,,,
u-ch427-n216-start-paper-25,,,,,5,,78,,,,,,,
u-ch427-n216-start-paper-26,,,,,6,,92,,,,,,,
u-ch427-n216-start-paper-27,,,,,7,,106,,,,,,,
u-ch427-n216-start-paper-28,,,,,8,,120,,,,,,,
u-ch427-n216-start-paper-29, 186.619 ,67.20,,,9,,134,2022-06-21T21:07:16Z,2022-06-21T23:29:19Z,2022-06-21T23:34:09Z,SUCCEEDED,1889975,189195,1.548
u-ch427-n216-start-paper-30, 379.078 ,121.90,,,30,,428,2022-06-13T19:56:26Z,2022-06-14T05:55:54Z,2022-06-14T06:08:20Z,SUCCEEDED,1815397,262054,11.579
u-ch427-n216-start-paper-50, 864.219 ,185.11,,,50,,708,2022-06-15T00:39:49Z,2022-06-15T07:08:04Z,2022-06-15T07:32:36Z,SUCCEEDED,1822194,105470,8.241
u-ch427-n216-start-paper-ms-00, 172.211 ,46.90,,,2,,36,2022-06-18T20:59:24Z,2022-06-18T21:09:54Z,2022-06-18T21:13:32Z,SUCCEEDED,1865872,189573,1.242
u-ch427-n216-start-paper-prec-00, 155.132 ,45.48,,,2,,36,2022-06-18T18:07:05Z,2022-06-18T20:23:58Z,2022-06-18T20:27:15Z,SUCCEEDED,1864253,198542,1.121
u-ch427-n216-start-paper-x0-00, 128.189 ,40.09,,,0,,22,2022-06-15T16:32:12Z,2022-06-15T16:47:52Z,2022-06-15T16:50:16Z,SUCCEEDED,1827203,86824,0.869
u-ch427-n216-start-paper-x0-01, 150.776 ,42.14,,,1,,22,2022-06-22T16:31:37Z,2022-06-22T16:39:59Z,2022-06-22T16:43:00Z,SUCCEEDED,1895444,57046,1.421
u-ch427-n216-start-paper-x0-02, 157.824 ,46.18,,,2,,36,2022-06-22T16:32:05Z,2022-06-22T16:43:55Z,2022-06-22T16:47:29Z,SUCCEEDED,1895447,166211,1.120
u-ch427-n216-start-paper-x0-03, 177.232 ,53.04,,,3,,50,2022-06-22T16:32:39Z,2022-06-22T17:03:38Z,2022-06-22T17:07:31Z,SUCCEEDED,1895452,4268,1.501
